,user_id,movie_id,recommendation_rank,module_source
0,1,100,1,VGCF
1,1,98,2,VGCF
2,1,56,3,VGCF
3,1,475,4,VGCF
4,1,12,5,VGCF
5,1,318,6,VGCF
6,1,23,7,VGCF
7,1,276,8,VGCF
8,1,174,9,VGCF
9,1,357,10,VGCF
10,1,285,11,VGCF
11,1,185,12,VGCF
12,1,70,13,VGCF
13,1,64,14,VGCF
14,1,462,15,VGCF
15,1,603,16,VGCF
16,1,514,17,VGCF
17,1,170,18,VGCF
18,1,86,19,VGCF
19,1,275,20,VGCF
20,1,483,21,VGCF
21,1,14,22,VGCF
22,1,286,23,VGCF
23,1,134,24,VGCF
24,1,427,25,VGCF
25,1,531,26,VGCF
26,1,479,27,VGCF
27,1,151,28,VGCF
28,1,582,29,VGCF
29,1,209,30,VGCF
30,1,248,31,VGCF
31,1,515,32,VGCF
32,1,433,33,VGCF
33,1,150,34,VGCF
34,1,408,35,VGCF
35,1,47,36,VGCF
36,1,509,37,VGCF
37,1,186,38,VGCF
38,1,69,39,VGCF
39,1,302,40,VGCF
40,1,196,41,VGCF
41,1,213,42,VGCF
42,1,428,43,VGCF
43,1,508,44,VGCF
44,1,60,45,VGCF
45,1,655,46,VGCF
46,1,129,47,VGCF
47,1,382,48,VGCF
48,1,258,49,VGCF
49,1,527,50,VGCF
50,2,301,1,VGCF
51,2,313,2,VGCF
52,2,319,3,VGCF
53,2,9,4,VGCF
54,2,19,5,VGCF
55,2,116,6,VGCF
56,2,268,7,VGCF
57,2,50,8,VGCF
58,2,126,9,VGCF
59,2,15,10,VGCF
60,2,303,11,VGCF
61,2,315,12,VGCF
62,2,744,13,VGCF
63,2,124,14,VGCF
64,2,340,15,VGCF
65,2,690,16,VGCF
66,2,475,17,VGCF
67,2,740,18,VGCF
68,2,292,19,VGCF
69,2,20,20,VGCF
70,2,321,21,VGCF
71,2,333,22,VGCF
72,2,936,23,VGCF
73,2,508,24,VGCF
74,2,328,25,VGCF
75,2,316,26,VGCF
76,2,270,27,VGCF
77,2,750,28,VGCF
78,2,181,29,VGCF
79,2,245,30,VGCF
80,2,13,31,VGCF
81,2,297,32,VGCF
82,2,137,33,VGCF
83,2,471,34,VGCF
84,2,748,35,VGCF
85,2,937,36,VGCF
86,2,257,37,VGCF
87,2,591,38,VGCF
88,2,248,39,VGCF
89,2,246,40,VGCF
90,2,515,41,VGCF
91,2,676,42,VGCF
92,2,312,43,VGCF
93,2,326,44,VGCF
94,2,332,45,VGCF
95,2,845,46,VGCF
96,2,476,47,VGCF
97,2,7,48,VGCF
98,2,995,49,VGCF
99,2,125,50,VGCF
100,3,324,1,VGCF
101,3,327,2,VGCF
102,3,307,3,VGCF
103,3,334,4,VGCF
104,3,286,5,VGCF
105,3,299,6,VGCF
106,3,270,7,VGCF
107,3,331,8,VGCF
108,3,300,9,VGCF
109,3,332,10,VGCF
110,3,887,11,VGCF
111,3,350,12,VGCF
112,3,313,13,VGCF
113,3,269,14,VGCF
114,3,292,15,VGCF
115,3,315,16,VGCF
116,3,328,17,VGCF
117,3,272,18,VGCF
118,3,262,19,VGCF
119,3,752,20,VGCF
120,3,872,21,VGCF
121,3,293,22,VGCF
122,3,310,23,VGCF
123,3,100,24,VGCF
124,3,750,25,VGCF
125,3,245,26,VGCF
126,3,690,27,VGCF
127,3,273,28,VGCF
128,3,127,29,VGCF
129,3,475,30,VGCF
130,3,7,31,VGCF
131,3,748,32,VGCF
132,3,682,33,VGCF
133,3,301,34,VGCF
134,3,895,35,VGCF
135,3,508,36,VGCF
136,3,691,37,VGCF
137,3,276,38,VGCF
138,3,1142,39,VGCF
139,3,330,40,VGCF
140,3,343,41,VGCF
141,3,298,42,VGCF
142,3,129,43,VGCF
143,3,345,44,VGCF
144,3,305,45,VGCF
145,3,751,46,VGCF
146,3,50,47,VGCF
147,3,289,48,VGCF
148,3,879,49,VGCF
149,3,1238,50,VGCF
150,4,288,1,VGCF
151,4,333,2,VGCF
152,4,307,3,VGCF
153,4,302,4,VGCF
154,4,332,5,VGCF
155,4,331,6,VGCF
156,4,346,7,VGCF
157,4,350,8,VGCF
158,4,313,9,VGCF
159,4,326,10,VGCF
160,4,334,11,VGCF
161,4,682,12,VGCF
162,4,895,13,VGCF
163,4,748,14,VGCF
164,4,299,15,VGCF
165,4,245,16,VGCF
166,4,879,17,VGCF
167,4,340,18,VGCF
168,4,343,19,VGCF
169,4,689,20,VGCF
170,4,310,21,VGCF
171,4,270,22,VGCF
172,4,323,23,VGCF
173,4,272,24,VGCF
174,4,268,25,VGCF
175,4,292,26,VGCF
176,4,286,27,VGCF
177,4,322,28,VGCF
178,4,751,29,VGCF
179,4,349,30,VGCF
180,4,690,31,VGCF
181,4,872,32,VGCF
182,4,315,33,VGCF
183,4,347,34,VGCF
184,4,294,35,VGCF
185,4,752,36,VGCF
186,4,678,37,VGCF
187,4,691,38,VGCF
188,4,908,39,VGCF
189,4,881,40,VGCF
190,4,750,41,VGCF
191,4,330,42,VGCF
192,4,298,43,VGCF
193,4,1025,44,VGCF
194,4,264,45,VGCF
195,4,887,46,VGCF
196,4,342,47,VGCF
197,4,355,48,VGCF
198,4,348,49,VGCF
199,4,325,50,VGCF
200,5,96,1,VGCF
201,5,98,2,VGCF
202,5,56,3,VGCF
203,5,195,4,VGCF
204,5,79,5,VGCF
205,5,403,6,VGCF
206,5,568,7,VGCF
207,5,176,8,VGCF
208,5,22,9,VGCF
209,5,82,10,VGCF
210,5,89,11,VGCF
211,5,385,12,VGCF
212,5,144,13,VGCF
213,5,173,14,VGCF
214,5,234,15,VGCF
215,5,550,16,VGCF
216,5,28,17,VGCF
217,5,265,18,VGCF
218,5,11,19,VGCF
219,5,202,20,VGCF
220,5,423,21,VGCF
221,5,161,22,VGCF
222,5,69,23,VGCF
223,5,230,24,VGCF
224,5,68,25,VGCF
225,5,184,26,VGCF
226,5,91,27,VGCF
227,5,4,28,VGCF
228,5,71,29,VGCF
229,5,566,30,VGCF
230,5,185,31,VGCF
231,5,7,32,VGCF
232,5,164,33,VGCF
233,5,227,34,VGCF
234,5,12,35,VGCF
235,5,64,36,VGCF
236,5,218,37,VGCF
237,5,470,38,VGCF
238,5,62,39,VGCF
239,5,1,40,VGCF
240,5,655,41,VGCF
241,5,196,42,VGCF
242,5,559,43,VGCF
243,5,588,44,VGCF
244,5,177,45,VGCF
245,5,132,46,VGCF
246,5,2,47,VGCF
247,5,576,48,VGCF
248,5,684,49,VGCF
249,5,318,50,VGCF
250,6,483,1,VGCF
251,6,197,2,VGCF
252,6,318,3,VGCF
253,6,100,4,VGCF
254,6,134,5,VGCF
255,6,357,6,VGCF
256,6,286,7,VGCF
257,6,479,8,VGCF
258,6,603,9,VGCF
259,6,86,10,VGCF
260,6,213,11,VGCF
261,6,275,12,VGCF
262,6,98,13,VGCF
263,6,480,14,VGCF
264,6,269,15,VGCF
265,6,511,16,VGCF
266,6,478,17,VGCF
267,6,211,18,VGCF
268,6,498,19,VGCF
269,6,238,20,VGCF
270,6,70,21,VGCF
271,6,582,22,VGCF
272,6,190,23,VGCF
273,6,69,24,VGCF
274,6,528,25,VGCF
275,6,179,26,VGCF
276,6,515,27,VGCF
277,6,83,28,VGCF
278,6,654,29,VGCF
279,6,133,30,VGCF
280,6,199,31,VGCF
281,6,135,32,VGCF
282,6,23,33,VGCF
283,6,705,34,VGCF
284,6,484,35,VGCF
285,6,56,36,VGCF
286,6,607,37,VGCF
287,6,509,38,VGCF
288,6,181,39,VGCF
289,6,204,40,VGCF
290,6,423,41,VGCF
291,6,187,42,VGCF
292,6,172,43,VGCF
293,6,131,44,VGCF
294,6,97,45,VGCF
295,6,45,46,VGCF
296,6,196,47,VGCF
297,6,606,48,VGCF
298,6,657,49,VGCF
299,6,517,50,VGCF
300,7,174,1,VGCF
301,7,172,2,VGCF
302,7,183,3,VGCF
303,7,89,4,VGCF
304,7,185,5,VGCF
305,7,176,6,VGCF
306,7,195,7,VGCF
307,7,79,8,VGCF
308,7,210,9,VGCF
309,7,208,10,VGCF
310,7,423,11,VGCF
311,7,191,12,VGCF
312,7,22,13,VGCF
313,7,28,14,VGCF
314,7,483,15,VGCF
315,7,200,16,VGCF
316,7,196,17,VGCF
317,7,182,18,VGCF
318,7,177,19,VGCF
319,7,435,20,VGCF
320,7,82,21,VGCF
321,7,228,22,VGCF
322,7,511,23,VGCF
323,7,153,24,VGCF
324,7,432,25,VGCF
325,7,209,26,VGCF
326,7,479,27,VGCF
327,7,188,28,VGCF
328,7,181,29,VGCF
329,7,480,30,VGCF
330,7,193,31,VGCF
331,7,203,32,VGCF
332,7,496,33,VGCF
333,7,484,34,VGCF
334,7,431,35,VGCF
335,7,657,36,VGCF
336,7,498,37,VGCF
337,7,385,38,VGCF
338,7,526,39,VGCF
339,7,95,40,VGCF
340,7,218,41,VGCF
341,7,519,42,VGCF
342,7,684,43,VGCF
343,7,154,44,VGCF
344,7,127,45,VGCF
345,7,136,46,VGCF
346,7,430,47,VGCF
347,7,520,48,VGCF
348,7,8,49,VGCF
349,7,161,50,VGCF
350,8,50,1,VGCF
351,8,172,2,VGCF
352,8,183,3,VGCF
353,8,176,4,VGCF
354,8,22,5,VGCF
355,8,56,6,VGCF
356,8,79,7,VGCF
357,8,98,8,VGCF
358,8,89,9,VGCF
359,8,265,10,VGCF
360,8,144,11,VGCF
361,8,210,12,VGCF
362,8,230,13,VGCF
363,8,385,14,VGCF
364,8,117,15,VGCF
365,8,64,16,VGCF
366,8,127,17,VGCF
367,8,234,18,VGCF
368,8,226,19,VGCF
369,8,550,20,VGCF
370,8,180,21,VGCF
371,8,7,22,VGCF
372,8,121,23,VGCF
373,8,568,24,VGCF
374,8,31,25,VGCF
375,8,135,26,VGCF
376,8,12,27,VGCF
377,8,173,28,VGCF
378,8,62,29,VGCF
379,8,318,30,VGCF
380,8,300,31,VGCF
381,8,1,32,VGCF
382,8,204,33,VGCF
383,8,28,34,VGCF
384,8,258,35,VGCF
385,8,188,36,VGCF
386,8,271,37,VGCF
387,8,257,38,VGCF
388,8,423,39,VGCF
389,8,186,40,VGCF
390,8,405,41,VGCF
391,8,164,42,VGCF
392,8,69,43,VGCF
393,8,526,44,VGCF
394,8,651,45,VGCF
395,8,203,46,VGCF
396,8,161,47,VGCF
397,8,288,48,VGCF
398,8,470,49,VGCF
399,8,576,50,VGCF
400,9,174,1,VGCF
401,9,181,2,VGCF
402,9,127,3,VGCF
403,9,98,4,VGCF
404,9,100,5,VGCF
405,9,318,6,VGCF
406,9,172,7,VGCF
407,9,56,8,VGCF
408,9,79,9,VGCF
409,9,22,10,VGCF
410,9,258,11,VGCF
411,9,173,12,VGCF
412,9,64,13,VGCF
413,9,357,14,VGCF
414,9,1,15,VGCF
415,9,210,16,VGCF
416,9,191,17,VGCF
417,9,89,18,VGCF
418,9,183,19,VGCF
419,9,176,20,VGCF
420,9,427,21,VGCF
421,9,96,22,VGCF
422,9,69,23,VGCF
423,9,12,24,VGCF
424,9,603,25,VGCF
425,9,187,26,VGCF
426,9,135,27,VGCF
427,9,195,28,VGCF
428,9,185,29,VGCF
429,9,286,30,VGCF
430,9,180,31,VGCF
431,9,423,32,VGCF
432,9,204,33,VGCF
433,9,515,34,VGCF
434,9,194,35,VGCF
435,9,480,36,VGCF
436,9,435,37,VGCF
437,9,134,38,VGCF
438,9,132,39,VGCF
439,9,197,40,VGCF
440,9,313,41,VGCF
441,9,479,42,VGCF
442,9,28,43,VGCF
443,9,97,44,VGCF
444,9,511,45,VGCF
445,9,9,46,VGCF
446,9,234,47,VGCF
447,9,216,48,VGCF
448,9,179,49,VGCF
449,9,199,50,VGCF
450,10,483,1,VGCF
451,10,191,2,VGCF
452,10,318,3,VGCF
453,10,127,4,VGCF
454,10,427,5,VGCF
455,10,514,6,VGCF
456,10,100,7,VGCF
457,10,603,8,VGCF
458,10,98,9,VGCF
459,10,86,10,VGCF
460,10,56,11,VGCF
461,10,194,12,VGCF
462,10,173,13,VGCF
463,10,135,14,VGCF
464,10,187,15,VGCF
465,10,528,16,VGCF
466,10,498,17,VGCF
467,10,213,18,VGCF
468,10,435,19,VGCF
469,10,199,20,VGCF
470,10,657,21,VGCF
471,10,64,22,VGCF
472,10,190,23,VGCF
473,10,515,24,VGCF
474,10,132,25,VGCF
475,10,507,26,VGCF
476,10,89,27,VGCF
477,10,172,28,VGCF
478,10,504,29,VGCF
479,10,517,30,VGCF
480,10,523,31,VGCF
481,10,607,32,VGCF
482,10,496,33,VGCF
483,10,705,34,VGCF
484,10,204,35,VGCF
485,10,661,36,VGCF
486,10,175,37,VGCF
487,10,423,38,VGCF
488,10,181,39,VGCF
489,10,275,40,VGCF
490,10,196,41,VGCF
491,10,519,42,VGCF
492,10,97,43,VGCF
493,10,8,44,VGCF
494,10,133,45,VGCF
495,10,83,46,VGCF
496,10,509,47,VGCF
497,10,79,48,VGCF
498,10,488,49,VGCF
499,10,269,50,VGCF
500,11,50,1,VGCF
501,11,100,2,VGCF
502,11,1,3,VGCF
503,11,181,4,VGCF
504,11,275,5,VGCF
505,11,174,6,VGCF
506,11,127,7,VGCF
507,11,216,8,VGCF
508,11,204,9,VGCF
509,11,191,10,VGCF
510,11,151,11,VGCF
511,11,111,12,VGCF
512,11,9,13,VGCF
513,11,172,14,VGCF
514,11,210,15,VGCF
515,11,283,16,VGCF
516,11,64,17,VGCF
517,11,313,18,VGCF
518,11,202,19,VGCF
519,11,22,20,VGCF
520,11,132,21,VGCF
521,11,143,22,VGCF
522,11,97,23,VGCF
523,11,197,24,VGCF
524,11,483,25,VGCF
525,11,7,26,VGCF
526,11,496,27,VGCF
527,11,269,28,VGCF
528,11,588,29,VGCF
529,11,95,30,VGCF
530,11,153,31,VGCF
531,11,276,32,VGCF
532,11,655,33,VGCF
533,11,12,34,VGCF
534,11,257,35,VGCF
535,11,194,36,VGCF
536,11,582,37,VGCF
537,11,660,38,VGCF
538,11,185,39,VGCF
539,11,215,40,VGCF
540,11,133,41,VGCF
541,11,294,42,VGCF
542,11,288,43,VGCF
543,11,515,44,VGCF
544,11,735,45,VGCF
545,11,117,46,VGCF
546,11,531,47,VGCF
547,11,186,48,VGCF
548,11,462,49,VGCF
549,11,432,50,VGCF
550,12,50,1,VGCF
551,12,181,2,VGCF
552,12,1,3,VGCF
553,12,100,4,VGCF
554,12,173,5,VGCF
555,12,172,6,VGCF
556,12,79,7,VGCF
557,12,318,8,VGCF
558,12,210,9,VGCF
559,12,204,10,VGCF
560,12,22,11,VGCF
561,12,56,12,VGCF
562,12,423,13,VGCF
563,12,64,14,VGCF
564,12,28,15,VGCF
565,12,237,16,VGCF
566,12,191,17,VGCF
567,12,121,18,VGCF
568,12,357,19,VGCF
569,12,96,20,VGCF
570,12,151,21,VGCF
571,12,97,22,VGCF
572,12,222,23,VGCF
573,12,258,24,VGCF
574,12,132,25,VGCF
575,12,15,26,VGCF
576,12,7,27,VGCF
577,12,196,28,VGCF
578,12,496,29,VGCF
579,12,483,30,VGCF
580,12,8,31,VGCF
581,12,117,32,VGCF
582,12,257,33,VGCF
583,12,82,34,VGCF
584,12,70,35,VGCF
585,12,95,36,VGCF
586,12,176,37,VGCF
587,12,89,38,VGCF
588,12,12,39,VGCF
589,12,427,40,VGCF
590,12,194,41,VGCF
591,12,275,42,VGCF
592,12,153,43,VGCF
593,12,186,44,VGCF
594,12,588,45,VGCF
595,12,183,46,VGCF
596,12,9,47,VGCF
597,12,143,48,VGCF
598,12,655,49,VGCF
599,12,313,50,VGCF
600,13,98,1,VGCF
601,13,56,2,VGCF
602,13,185,3,VGCF
603,13,100,4,VGCF
604,13,181,5,VGCF
605,13,318,6,VGCF
606,13,173,7,VGCF
607,13,64,8,VGCF
608,13,210,9,VGCF
609,13,11,10,VGCF
610,13,186,11,VGCF
611,13,483,12,VGCF
612,13,238,13,VGCF
613,13,195,14,VGCF
614,13,180,15,VGCF
615,13,423,16,VGCF
616,13,134,17,VGCF
617,13,479,18,VGCF
618,13,196,19,VGCF
619,13,153,20,VGCF
620,13,258,21,VGCF
621,13,198,22,VGCF
622,13,203,23,VGCF
623,13,97,24,VGCF
624,13,302,25,VGCF
625,13,208,26,VGCF
626,13,443,27,VGCF
627,13,144,28,VGCF
628,13,151,29,VGCF
629,13,480,30,VGCF
630,13,192,31,VGCF
631,13,169,32,VGCF
632,13,268,33,VGCF
633,13,47,34,VGCF
634,13,514,35,VGCF
635,13,178,36,VGCF
636,13,42,37,VGCF
637,13,48,38,VGCF
638,13,651,39,VGCF
639,13,156,40,VGCF
640,13,55,41,VGCF
641,13,428,42,VGCF
642,13,154,43,VGCF
643,13,269,44,VGCF
644,13,496,45,VGCF
645,13,265,46,VGCF
646,13,408,47,VGCF
647,13,447,48,VGCF
648,13,317,49,VGCF
649,13,215,50,VGCF
650,14,100,1,VGCF
651,14,50,2,VGCF
652,14,23,3,VGCF
653,14,56,4,VGCF
654,14,98,5,VGCF
655,14,179,6,VGCF
656,14,286,7,VGCF
657,14,185,8,VGCF
658,14,318,9,VGCF
659,14,603,10,VGCF
660,14,357,11,VGCF
661,14,7,12,VGCF
662,14,174,13,VGCF
663,14,9,14,VGCF
664,14,269,15,VGCF
