user_id,movie_id,recommendation_rank,module_source
1,285,1,LLM_Batch_Reranker
1,427,2,LLM_Batch_Reranker
1,14,3,LLM_Batch_Reranker
1,475,4,LLM_Batch_Reranker
1,276,5,LLM_Batch_Reranker
1,70,6,LLM_Batch_Reranker
1,64,7,LLM_Batch_Reranker
1,318,8,LLM_Batch_Reranker
1,357,9,LLM_Batch_Reranker
1,514,10,LLM_Batch_Reranker
1,170,11,LLM_Batch_Reranker
1,86,12,LLM_Batch_Reranker
1,275,13,LLM_Batch_Reranker
1,531,14,LLM_Batch_Reranker
1,100,15,LLM_Batch_Reranker
1,462,16,LLM_Batch_Reranker
1,582,17,LLM_Batch_Reranker
1,56,18,LLM_Batch_Reranker
1,23,19,LLM_Batch_Reranker
1,286,20,LLM_Batch_Reranker
2,9,1,LLM_Batch_Reranker
2,292,2,LLM_Batch_Reranker
2,744,3,LLM_Batch_Reranker
2,19,4,LLM_Batch_Reranker
2,333,5,LLM_Batch_Reranker
2,303,6,LLM_Batch_Reranker
2,124,7,LLM_Batch_Reranker
2,690,8,LLM_Batch_Reranker
2,126,9,LLM_Batch_Reranker
2,508,10,LLM_Batch_Reranker
2,328,11,LLM_Batch_Reranker
2,750,12,LLM_Batch_Reranker
2,268,13,LLM_Batch_Reranker
2,315,14,LLM_Batch_Reranker
2,475,15,LLM_Batch_Reranker
2,270,16,LLM_Batch_Reranker
2,313,17,LLM_Batch_Reranker
2,15,18,LLM_Batch_Reranker
2,20,19,LLM_Batch_Reranker
2,936,20,LLM_Batch_Reranker
3,270,1,LLM_Batch_Reranker
3,315,2,LLM_Batch_Reranker
3,293,3,LLM_Batch_Reranker
3,332,4,LLM_Batch_Reranker
3,328,5,LLM_Batch_Reranker
3,310,6,LLM_Batch_Reranker
3,327,7,LLM_Batch_Reranker
3,334,8,LLM_Batch_Reranker
3,350,9,LLM_Batch_Reranker
3,292,10,LLM_Batch_Reranker
3,262,11,LLM_Batch_Reranker
3,750,12,LLM_Batch_Reranker
3,127,13,LLM_Batch_Reranker
3,307,14,LLM_Batch_Reranker
3,299,15,LLM_Batch_Reranker
3,887,16,LLM_Batch_Reranker
3,273,17,LLM_Batch_Reranker
3,331,18,LLM_Batch_Reranker
3,313,19,LLM_Batch_Reranker
3,245,20,LLM_Batch_Reranker
4,302,1,LLM_Batch_Reranker
4,689,2,LLM_Batch_Reranker
4,292,3,LLM_Batch_Reranker
4,334,4,LLM_Batch_Reranker
4,245,5,LLM_Batch_Reranker
4,346,6,LLM_Batch_Reranker
4,350,7,LLM_Batch_Reranker
4,332,8,LLM_Batch_Reranker
4,326,9,LLM_Batch_Reranker
4,299,10,LLM_Batch_Reranker
4,879,11,LLM_Batch_Reranker
4,323,12,LLM_Batch_Reranker
4,322,13,LLM_Batch_Reranker
4,333,14,LLM_Batch_Reranker
4,748,15,LLM_Batch_Reranker
4,310,16,LLM_Batch_Reranker
4,270,17,LLM_Batch_Reranker
4,307,18,LLM_Batch_Reranker
4,343,19,LLM_Batch_Reranker
4,751,20,LLM_Batch_Reranker
5,79,1,LLM_Batch_Reranker
5,144,2,LLM_Batch_Reranker
5,173,3,LLM_Batch_Reranker
5,550,4,LLM_Batch_Reranker
5,568,5,LLM_Batch_Reranker
5,82,6,LLM_Batch_Reranker
5,68,7,LLM_Batch_Reranker
5,423,8,LLM_Batch_Reranker
5,161,9,LLM_Batch_Reranker
5,91,10,LLM_Batch_Reranker
5,56,11,LLM_Batch_Reranker
5,403,12,LLM_Batch_Reranker
5,265,13,LLM_Batch_Reranker
5,202,14,LLM_Batch_Reranker
5,184,15,LLM_Batch_Reranker
5,71,16,LLM_Batch_Reranker
5,96,17,LLM_Batch_Reranker
5,195,18,LLM_Batch_Reranker
5,22,19,LLM_Batch_Reranker
5,385,20,LLM_Batch_Reranker
6,86,1,LLM_Batch_Reranker
6,100,2,LLM_Batch_Reranker
6,238,3,LLM_Batch_Reranker
6,134,4,LLM_Batch_Reranker
6,213,5,LLM_Batch_Reranker
6,478,6,LLM_Batch_Reranker
6,582,7,LLM_Batch_Reranker
6,528,8,LLM_Batch_Reranker
6,357,9,LLM_Batch_Reranker
6,286,10,LLM_Batch_Reranker
6,269,11,LLM_Batch_Reranker
6,211,12,LLM_Batch_Reranker
6,69,13,LLM_Batch_Reranker
6,654,14,LLM_Batch_Reranker
6,70,15,LLM_Batch_Reranker
6,483,16,LLM_Batch_Reranker
6,275,17,LLM_Batch_Reranker
6,480,18,LLM_Batch_Reranker
6,511,19,LLM_Batch_Reranker
6,498,20,LLM_Batch_Reranker
7,89,1,LLM_Batch_Reranker
7,511,2,LLM_Batch_Reranker
7,22,3,LLM_Batch_Reranker
7,79,4,LLM_Batch_Reranker
7,196,5,LLM_Batch_Reranker
7,185,6,LLM_Batch_Reranker
7,177,7,LLM_Batch_Reranker
7,228,8,LLM_Batch_Reranker
7,195,9,LLM_Batch_Reranker
7,191,10,LLM_Batch_Reranker
7,28,11,LLM_Batch_Reranker
