user_id,movie_id,recommendation_rank,module_source
1,285,1,LLM_Batch_Reranker
1,475,2,LLM_Batch_Reranker
1,276,3,LLM_Batch_Reranker
1,70,4,LLM_Batch_Reranker
1,514,5,LLM_Batch_Reranker
1,357,6,LLM_Batch_Reranker
1,64,7,LLM_Batch_Reranker
1,170,8,LLM_Batch_Reranker
1,12,9,LLM_Batch_Reranker
1,86,10,LLM_Batch_Reranker
1,100,11,LLM_Batch_Reranker
1,318,12,LLM_Batch_Reranker
1,23,13,LLM_Batch_Reranker
1,462,14,LLM_Batch_Reranker
1,56,15,LLM_Batch_Reranker
1,275,16,LLM_Batch_Reranker
1,98,17,LLM_Batch_Reranker
1,174,18,LLM_Batch_Reranker
1,185,19,LLM_Batch_Reranker
1,603,20,LLM_Batch_Reranker
2,9,1,LLM_Batch_Reranker
2,744,2,LLM_Batch_Reranker
2,303,3,LLM_Batch_Reranker
2,124,4,LLM_Batch_Reranker
2,690,5,LLM_Batch_Reranker
2,292,6,LLM_Batch_Reranker
2,313,7,LLM_Batch_Reranker
2,19,8,LLM_Batch_Reranker
2,116,9,LLM_Batch_Reranker
2,268,10,LLM_Batch_Reranker
2,15,11,LLM_Batch_Reranker
2,315,12,LLM_Batch_Reranker
2,126,13,LLM_Batch_Reranker
2,475,14,LLM_Batch_Reranker
2,20,15,LLM_Batch_Reranker
2,301,16,LLM_Batch_Reranker
2,319,17,LLM_Batch_Reranker
2,50,18,LLM_Batch_Reranker
2,340,19,LLM_Batch_Reranker
2,740,20,LLM_Batch_Reranker
3,270,1,LLM_Batch_Reranker
3,332,2,LLM_Batch_Reranker
3,315,3,LLM_Batch_Reranker
3,328,4,LLM_Batch_Reranker
3,327,5,LLM_Batch_Reranker
3,334,6,LLM_Batch_Reranker
3,307,7,LLM_Batch_Reranker
3,350,8,LLM_Batch_Reranker
3,324,9,LLM_Batch_Reranker
3,299,10,LLM_Batch_Reranker
3,331,11,LLM_Batch_Reranker
3,300,12,LLM_Batch_Reranker
3,887,13,LLM_Batch_Reranker
3,313,14,LLM_Batch_Reranker
3,292,15,LLM_Batch_Reranker
3,262,16,LLM_Batch_Reranker
3,752,17,LLM_Batch_Reranker
3,286,18,LLM_Batch_Reranker
3,269,19,LLM_Batch_Reranker
3,272,20,LLM_Batch_Reranker
4,302,1,LLM_Batch_Reranker
4,334,2,LLM_Batch_Reranker
4,245,3,LLM_Batch_Reranker
4,350,4,LLM_Batch_Reranker
4,332,5,LLM_Batch_Reranker
4,879,6,LLM_Batch_Reranker
4,333,7,LLM_Batch_Reranker
4,748,8,LLM_Batch_Reranker
4,689,9,LLM_Batch_Reranker
4,346,10,LLM_Batch_Reranker
4,326,11,LLM_Batch_Reranker
4,895,12,LLM_Batch_Reranker
4,299,13,LLM_Batch_Reranker
4,307,14,LLM_Batch_Reranker
4,331,15,LLM_Batch_Reranker
4,340,16,LLM_Batch_Reranker
4,288,17,LLM_Batch_Reranker
4,313,18,LLM_Batch_Reranker
4,682,19,LLM_Batch_Reranker
4,343,20,LLM_Batch_Reranker
5,173,1,LLM_Batch_Reranker
5,568,2,LLM_Batch_Reranker
5,550,3,LLM_Batch_Reranker
5,176,4,LLM_Batch_Reranker
5,89,5,LLM_Batch_Reranker
5,144,6,LLM_Batch_Reranker
5,195,7,LLM_Batch_Reranker
5,79,8,LLM_Batch_Reranker
5,202,9,LLM_Batch_Reranker
5,98,10,LLM_Batch_Reranker
5,403,11,LLM_Batch_Reranker
5,82,12,LLM_Batch_Reranker
5,385,13,LLM_Batch_Reranker
5,265,14,LLM_Batch_Reranker
5,96,15,LLM_Batch_Reranker
5,234,16,LLM_Batch_Reranker
5,11,17,LLM_Batch_Reranker
5,56,18,LLM_Batch_Reranker
5,22,19,LLM_Batch_Reranker
5,28,20,LLM_Batch_Reranker
6,213,1,LLM_Batch_Reranker
6,478,2,LLM_Batch_Reranker
6,134,3,LLM_Batch_Reranker
6,86,4,LLM_Batch_Reranker
6,479,5,LLM_Batch_Reranker
6,238,6,LLM_Batch_Reranker
6,197,7,LLM_Batch_Reranker
6,357,8,LLM_Batch_Reranker
6,275,9,LLM_Batch_Reranker
6,480,10,LLM_Batch_Reranker
6,269,11,LLM_Batch_Reranker
6,511,12,LLM_Batch_Reranker
6,483,13,LLM_Batch_Reranker
6,100,14,LLM_Batch_Reranker
6,286,15,LLM_Batch_Reranker
6,603,16,LLM_Batch_Reranker
6,498,17,LLM_Batch_Reranker
6,318,18,LLM_Batch_Reranker
6,98,19,LLM_Batch_Reranker
6,211,20,LLM_Batch_Reranker
7,79,1,LLM_Batch_Reranker
7,196,2,LLM_Batch_Reranker
7,28,3,LLM_Batch_Reranker
7,183,4,LLM_Batch_Reranker
7,185,5,LLM_Batch_Reranker
7,195,6,LLM_Batch_Reranker
7,210,7,LLM_Batch_Reranker
7,191,8,LLM_Batch_Reranker
7,182,9,LLM_Batch_Reranker
7,22,10,LLM_Batch_Reranker
7,483,11,LLM_Batch_Reranker
7,177,12,LLM_Batch_Reranker
7,89,13,LLM_Batch_Reranker
7,176,14,LLM_Batch_Reranker
7,208,15,LLM_Batch_Reranker
7,172,16,LLM_Batch_Reranker
7,423,17,LLM_Batch_Reranker
7,200,18,LLM_Batch_Reranker
7,174,19,LLM_Batch_Reranker
7,435,20,LLM_Batch_Reranker
8,79,1,LLM_Batch_Reranker
8,385,2,LLM_Batch_Reranker
8,265,3,LLM_Batch_Reranker
8,144,4,LLM_Batch_Reranker
8,127,5,LLM_Batch_Reranker
8,176,6,LLM_Batch_Reranker
8,22,7,LLM_Batch_Reranker
8,98,8,LLM_Batch_Reranker
8,550,9,LLM_Batch_Reranker
8,117,10,LLM_Batch_Reranker
8,226,11,LLM_Batch_Reranker
8,172,12,LLM_Batch_Reranker
8,56,13,LLM_Batch_Reranker
8,210,14,LLM_Batch_Reranker
8,64,15,LLM_Batch_Reranker
8,50,16,LLM_Batch_Reranker
8,89,17,LLM_Batch_Reranker
8,230,18,LLM_Batch_Reranker
8,183,19,LLM_Batch_Reranker
8,234,20,LLM_Batch_Reranker
9,100,1,LLM_Batch_Reranker
9,258,2,LLM_Batch_Reranker
9,357,3,LLM_Batch_Reranker
9,64,4,LLM_Batch_Reranker
9,127,5,LLM_Batch_Reranker
9,98,6,LLM_Batch_Reranker
9,318,7,LLM_Batch_Reranker
9,172,8,LLM_Batch_Reranker
9,191,9,LLM_Batch_Reranker
9,176,10,LLM_Batch_Reranker
9,173,11,LLM_Batch_Reranker
9,210,12,LLM_Batch_Reranker
9,183,13,LLM_Batch_Reranker
9,22,14,LLM_Batch_Reranker
9,181,15,LLM_Batch_Reranker
9,79,16,LLM_Batch_Reranker
9,174,17,LLM_Batch_Reranker
9,56,18,LLM_Batch_Reranker
9,1,19,LLM_Batch_Reranker
9,89,20,LLM_Batch_Reranker
10,427,1,LLM_Batch_Reranker
10,86,2,LLM_Batch_Reranker
10,528,3,LLM_Batch_Reranker
10,100,4,LLM_Batch_Reranker
10,56,5,LLM_Batch_Reranker
10,173,6,LLM_Batch_Reranker
10,199,7,LLM_Batch_Reranker
10,191,8,LLM_Batch_Reranker
10,514,9,LLM_Batch_Reranker
10,498,10,LLM_Batch_Reranker
10,318,11,LLM_Batch_Reranker
10,194,12,LLM_Batch_Reranker
10,187,13,LLM_Batch_Reranker
10,435,14,LLM_Batch_Reranker
10,483,15,LLM_Batch_Reranker
10,603,16,LLM_Batch_Reranker
10,98,17,LLM_Batch_Reranker
10,213,18,LLM_Batch_Reranker
10,127,19,LLM_Batch_Reranker
10,135,20,LLM_Batch_Reranker
11,275,1,LLM_Batch_Reranker
11,191,2,LLM_Batch_Reranker
11,283,3,LLM_Batch_Reranker
11,127,4,LLM_Batch_Reranker
11,64,5,LLM_Batch_Reranker
11,111,6,LLM_Batch_Reranker
11,313,7,LLM_Batch_Reranker
11,181,8,LLM_Batch_Reranker
11,216,9,LLM_Batch_Reranker
11,204,10,LLM_Batch_Reranker
11,9,11,LLM_Batch_Reranker
11,100,12,LLM_Batch_Reranker
11,174,13,LLM_Batch_Reranker
11,172,14,LLM_Batch_Reranker
11,210,15,LLM_Batch_Reranker
11,22,16,LLM_Batch_Reranker
11,50,17,LLM_Batch_Reranker
11,1,18,LLM_Batch_Reranker
11,151,19,LLM_Batch_Reranker
11,202,20,LLM_Batch_Reranker
12,318,1,LLM_Batch_Reranker
12,173,2,LLM_Batch_Reranker
12,423,3,LLM_Batch_Reranker
12,64,4,LLM_Batch_Reranker
12,22,5,LLM_Batch_Reranker
12,204,6,LLM_Batch_Reranker
12,357,7,LLM_Batch_Reranker
12,50,8,LLM_Batch_Reranker
12,172,9,LLM_Batch_Reranker
12,28,10,LLM_Batch_Reranker
12,96,11,LLM_Batch_Reranker
12,181,12,LLM_Batch_Reranker
12,100,13,LLM_Batch_Reranker
12,210,14,LLM_Batch_Reranker
12,237,15,LLM_Batch_Reranker
12,191,16,LLM_Batch_Reranker
12,1,17,LLM_Batch_Reranker
12,79,18,LLM_Batch_Reranker
12,56,19,LLM_Batch_Reranker
12,121,20,LLM_Batch_Reranker
13,11,1,LLM_Batch_Reranker
13,64,2,LLM_Batch_Reranker
13,134,3,LLM_Batch_Reranker
13,185,4,LLM_Batch_Reranker
13,100,5,LLM_Batch_Reranker
13,318,6,LLM_Batch_Reranker
13,483,7,LLM_Batch_Reranker
13,195,8,LLM_Batch_Reranker
13,180,9,LLM_Batch_Reranker
13,479,10,LLM_Batch_Reranker
13,173,11,LLM_Batch_Reranker
13,423,12,LLM_Batch_Reranker
13,181,13,LLM_Batch_Reranker
13,210,14,LLM_Batch_Reranker
13,56,15,LLM_Batch_Reranker
13,238,16,LLM_Batch_Reranker
13,196,17,LLM_Batch_Reranker
13,98,18,LLM_Batch_Reranker
13,186,19,LLM_Batch_Reranker
13,153,20,LLM_Batch_Reranker
14,98,1,LLM_Batch_Reranker
14,9,2,LLM_Batch_Reranker
14,357,3,LLM_Batch_Reranker
14,603,4,LLM_Batch_Reranker
14,134,5,LLM_Batch_Reranker
14,515,6,LLM_Batch_Reranker
14,56,7,LLM_Batch_Reranker
14,179,8,LLM_Batch_Reranker
14,286,9,LLM_Batch_Reranker
14,174,10,LLM_Batch_Reranker
14,182,11,LLM_Batch_Reranker
14,23,12,LLM_Batch_Reranker
14,318,13,LLM_Batch_Reranker
14,269,14,LLM_Batch_Reranker
14,475,15,LLM_Batch_Reranker
14,50,16,LLM_Batch_Reranker
14,185,17,LLM_Batch_Reranker
14,100,18,LLM_Batch_Reranker
14,7,19,LLM_Batch_Reranker
14,483,20,LLM_Batch_Reranker
15,289,1,LLM_Batch_Reranker
15,304,2,LLM_Batch_Reranker
15,126,3,LLM_Batch_Reranker
15,25,4,LLM_Batch_Reranker
15,274,5,LLM_Batch_Reranker
15,740,6,LLM_Batch_Reranker
15,286,7,LLM_Batch_Reranker
15,319,8,LLM_Batch_Reranker
15,313,9,LLM_Batch_Reranker
15,294,10,LLM_Batch_Reranker
15,301,11,LLM_Batch_Reranker
15,100,12,LLM_Batch_Reranker
15,276,13,LLM_Batch_Reranker
15,471,14,LLM_Batch_Reranker
15,272,15,LLM_Batch_Reranker
15,288,16,LLM_Batch_Reranker
15,300,17,LLM_Batch_Reranker
15,1,18,LLM_Batch_Reranker
15,9,19,LLM_Batch_Reranker
15,245,20,LLM_Batch_Reranker
16,173,1,LLM_Batch_Reranker
16,28,2,LLM_Batch_Reranker
16,183,3,LLM_Batch_Reranker
16,176,4,LLM_Batch_Reranker
16,96,5,LLM_Batch_Reranker
16,195,6,LLM_Batch_Reranker
16,22,7,LLM_Batch_Reranker
16,186,8,LLM_Batch_Reranker
16,357,9,LLM_Batch_Reranker
16,56,10,LLM_Batch_Reranker
16,174,11,LLM_Batch_Reranker
16,69,12,LLM_Batch_Reranker
16,89,13,LLM_Batch_Reranker
16,50,14,LLM_Batch_Reranker
16,210,15,LLM_Batch_Reranker
16,318,16,LLM_Batch_Reranker
16,82,17,LLM_Batch_Reranker
16,181,18,LLM_Batch_Reranker
16,64,19,LLM_Batch_Reranker
16,191,20,LLM_Batch_Reranker
