user_id,movie_id,recommendation_rank,module_source
1,318,1,LLM_Batch_Reranker (hybrid scores)
1,357,2,LLM_Batch_Reranker (hybrid scores)
1,12,3,LLM_Batch_Reranker (hybrid scores)
1,100,4,LLM_Batch_Reranker (hybrid scores)
1,285,5,LLM_Batch_Reranker (hybrid scores)
1,475,6,LLM_Batch_Reranker (hybrid scores)
1,86,7,LLM_Batch_Reranker (hybrid scores)
1,427,8,LLM_Batch_Reranker (hybrid scores)
1,56,9,LLM_Batch_Reranker (hybrid scores)
1,483,10,LLM_Batch_Reranker (hybrid scores)
1,23,11,LLM_Batch_Reranker (hybrid scores)
1,275,12,LLM_Batch_Reranker (hybrid scores)
1,286,13,LLM_Batch_Reranker (hybrid scores)
1,14,14,LLM_Batch_Reranker (hybrid scores)
1,462,15,LLM_Batch_Reranker (hybrid scores)
1,170,16,LLM_Batch_Reranker (hybrid scores)
1,98,17,LLM_Batch_Reranker (hybrid scores)
1,531,18,LLM_Batch_Reranker (hybrid scores)
1,582,19,LLM_Batch_Reranker (hybrid scores)
1,276,20,LLM_Batch_Reranker (hybrid scores)
2,9,1,LLM_Batch_Reranker (hybrid scores)
2,126,2,LLM_Batch_Reranker (hybrid scores)
2,19,3,LLM_Batch_Reranker (hybrid scores)
2,319,4,LLM_Batch_Reranker (hybrid scores)
2,268,5,LLM_Batch_Reranker (hybrid scores)
2,15,6,LLM_Batch_Reranker (hybrid scores)
2,292,7,LLM_Batch_Reranker (hybrid scores)
2,303,8,LLM_Batch_Reranker (hybrid scores)
2,744,9,LLM_Batch_Reranker (hybrid scores)
2,124,10,LLM_Batch_Reranker (hybrid scores)
2,116,11,LLM_Batch_Reranker (hybrid scores)
2,301,12,LLM_Batch_Reranker (hybrid scores)
2,690,13,LLM_Batch_Reranker (hybrid scores)
2,750,14,LLM_Batch_Reranker (hybrid scores)
2,333,15,LLM_Batch_Reranker (hybrid scores)
2,313,16,LLM_Batch_Reranker (hybrid scores)
2,475,17,LLM_Batch_Reranker (hybrid scores)
2,508,18,LLM_Batch_Reranker (hybrid scores)
2,270,19,LLM_Batch_Reranker (hybrid scores)
2,328,20,LLM_Batch_Reranker (hybrid scores)
3,324,1,LLM_Batch_Reranker (hybrid scores)
3,299,2,LLM_Batch_Reranker (hybrid scores)
3,327,3,LLM_Batch_Reranker (hybrid scores)
3,350,4,LLM_Batch_Reranker (hybrid scores)
3,307,5,LLM_Batch_Reranker (hybrid scores)
3,292,6,LLM_Batch_Reranker (hybrid scores)
3,334,7,LLM_Batch_Reranker (hybrid scores)
3,270,8,LLM_Batch_Reranker (hybrid scores)
3,332,9,LLM_Batch_Reranker (hybrid scores)
3,750,10,LLM_Batch_Reranker (hybrid scores)
3,293,11,LLM_Batch_Reranker (hybrid scores)
3,331,12,LLM_Batch_Reranker (hybrid scores)
3,315,13,LLM_Batch_Reranker (hybrid scores)
3,310,14,LLM_Batch_Reranker (hybrid scores)
3,262,15,LLM_Batch_Reranker (hybrid scores)
3,690,16,LLM_Batch_Reranker (hybrid scores)
3,887,17,LLM_Batch_Reranker (hybrid scores)
3,328,18,LLM_Batch_Reranker (hybrid scores)
3,100,19,LLM_Batch_Reranker (hybrid scores)
3,127,20,LLM_Batch_Reranker (hybrid scores)
4,302,1,LLM_Batch_Reranker (hybrid scores)
4,307,2,LLM_Batch_Reranker (hybrid scores)
4,346,3,LLM_Batch_Reranker (hybrid scores)
4,333,4,LLM_Batch_Reranker (hybrid scores)
4,332,5,LLM_Batch_Reranker (hybrid scores)
4,350,6,LLM_Batch_Reranker (hybrid scores)
4,299,7,LLM_Batch_Reranker (hybrid scores)
4,334,8,LLM_Batch_Reranker (hybrid scores)
4,689,9,LLM_Batch_Reranker (hybrid scores)
4,326,10,LLM_Batch_Reranker (hybrid scores)
4,245,11,LLM_Batch_Reranker (hybrid scores)
4,879,12,LLM_Batch_Reranker (hybrid scores)
4,286,13,LLM_Batch_Reranker (hybrid scores)
4,331,14,LLM_Batch_Reranker (hybrid scores)
4,343,15,LLM_Batch_Reranker (hybrid scores)
4,748,16,LLM_Batch_Reranker (hybrid scores)
4,292,17,LLM_Batch_Reranker (hybrid scores)
4,895,18,LLM_Batch_Reranker (hybrid scores)
4,322,19,LLM_Batch_Reranker (hybrid scores)
4,323,20,LLM_Batch_Reranker (hybrid scores)
5,144,1,LLM_Batch_Reranker (hybrid scores)
5,79,2,LLM_Batch_Reranker (hybrid scores)
5,265,3,LLM_Batch_Reranker (hybrid scores)
5,568,4,LLM_Batch_Reranker (hybrid scores)
5,550,5,LLM_Batch_Reranker (hybrid scores)
5,56,6,LLM_Batch_Reranker (hybrid scores)
5,234,7,LLM_Batch_Reranker (hybrid scores)
5,173,8,LLM_Batch_Reranker (hybrid scores)
