user_id,movie_id,recommendation_rank,module_source
1,64,1,LLM_Batch_Reranker (hybrid scores)
1,12,2,LLM_Batch_Reranker (hybrid scores)
1,285,3,LLM_Batch_Reranker (hybrid scores)
1,514,4,LLM_Batch_Reranker (hybrid scores)
1,357,5,LLM_Batch_Reranker (hybrid scores)
1,70,6,LLM_Batch_Reranker (hybrid scores)
1,86,7,LLM_Batch_Reranker (hybrid scores)
1,427,8,LLM_Batch_Reranker (hybrid scores)
1,276,9,LLM_Batch_Reranker (hybrid scores)
1,14,10,LLM_Batch_Reranker (hybrid scores)
1,170,11,LLM_Batch_Reranker (hybrid scores)
1,531,12,LLM_Batch_Reranker (hybrid scores)
1,275,13,LLM_Batch_Reranker (hybrid scores)
1,462,14,LLM_Batch_Reranker (hybrid scores)
1,134,15,LLM_Batch_Reranker (hybrid scores)
1,100,16,LLM_Batch_Reranker (hybrid scores)
1,582,17,LLM_Batch_Reranker (hybrid scores)
1,603,18,LLM_Batch_Reranker (hybrid scores)
1,479,19,LLM_Batch_Reranker (hybrid scores)
1,475,20,LLM_Batch_Reranker (hybrid scores)
2,9,1,LLM_Batch_Reranker (hybrid scores)
2,315,2,LLM_Batch_Reranker (hybrid scores)
2,313,3,LLM_Batch_Reranker (hybrid scores)
2,124,4,LLM_Batch_Reranker (hybrid scores)
2,740,5,LLM_Batch_Reranker (hybrid scores)
2,333,6,LLM_Batch_Reranker (hybrid scores)
2,744,7,LLM_Batch_Reranker (hybrid scores)
2,292,8,LLM_Batch_Reranker (hybrid scores)
2,690,9,LLM_Batch_Reranker (hybrid scores)
2,750,10,LLM_Batch_Reranker (hybrid scores)
2,303,11,LLM_Batch_Reranker (hybrid scores)
2,508,12,LLM_Batch_Reranker (hybrid scores)
2,475,13,LLM_Batch_Reranker (hybrid scores)
2,245,14,LLM_Batch_Reranker (hybrid scores)
2,20,15,LLM_Batch_Reranker (hybrid scores)
2,126,16,LLM_Batch_Reranker (hybrid scores)
2,19,17,LLM_Batch_Reranker (hybrid scores)
2,328,18,LLM_Batch_Reranker (hybrid scores)
2,268,19,LLM_Batch_Reranker (hybrid scores)
2,15,20,LLM_Batch_Reranker (hybrid scores)
3,327,1,LLM_Batch_Reranker (hybrid scores)
3,270,2,LLM_Batch_Reranker (hybrid scores)
3,307,3,LLM_Batch_Reranker (hybrid scores)
3,332,4,LLM_Batch_Reranker (hybrid scores)
3,324,5,LLM_Batch_Reranker (hybrid scores)
3,292,6,LLM_Batch_Reranker (hybrid scores)
3,315,7,LLM_Batch_Reranker (hybrid scores)
3,887,8,LLM_Batch_Reranker (hybrid scores)
3,299,9,LLM_Batch_Reranker (hybrid scores)
3,127,10,LLM_Batch_Reranker (hybrid scores)
3,334,11,LLM_Batch_Reranker (hybrid scores)
3,100,12,LLM_Batch_Reranker (hybrid scores)
3,331,13,LLM_Batch_Reranker (hybrid scores)
3,273,14,LLM_Batch_Reranker (hybrid scores)
3,328,15,LLM_Batch_Reranker (hybrid scores)
3,350,16,LLM_Batch_Reranker (hybrid scores)
3,293,17,LLM_Batch_Reranker (hybrid scores)
3,752,18,LLM_Batch_Reranker (hybrid scores)
3,245,19,LLM_Batch_Reranker (hybrid scores)
3,750,20,LLM_Batch_Reranker (hybrid scores)
4,302,1,LLM_Batch_Reranker (hybrid scores)
4,333,2,LLM_Batch_Reranker (hybrid scores)
4,332,3,LLM_Batch_Reranker (hybrid scores)
4,346,4,LLM_Batch_Reranker (hybrid scores)
4,299,5,LLM_Batch_Reranker (hybrid scores)
4,334,6,LLM_Batch_Reranker (hybrid scores)
4,689,7,LLM_Batch_Reranker (hybrid scores)
4,245,8,LLM_Batch_Reranker (hybrid scores)
4,322,9,LLM_Batch_Reranker (hybrid scores)
4,879,10,LLM_Batch_Reranker (hybrid scores)
4,310,11,LLM_Batch_Reranker (hybrid scores)
4,751,12,LLM_Batch_Reranker (hybrid scores)
4,748,13,LLM_Batch_Reranker (hybrid scores)
4,326,14,LLM_Batch_Reranker (hybrid scores)
4,292,15,LLM_Batch_Reranker (hybrid scores)
4,331,16,LLM_Batch_Reranker (hybrid scores)
4,349,17,LLM_Batch_Reranker (hybrid scores)
4,307,18,LLM_Batch_Reranker (hybrid scores)
4,323,19,LLM_Batch_Reranker (hybrid scores)
4,350,20,LLM_Batch_Reranker (hybrid scores)
5,79,1,LLM_Batch_Reranker (hybrid scores)
5,144,2,LLM_Batch_Reranker (hybrid scores)
5,173,3,LLM_Batch_Reranker (hybrid scores)
5,56,4,LLM_Batch_Reranker (hybrid scores)
5,550,5,LLM_Batch_Reranker (hybrid scores)
5,234,6,LLM_Batch_Reranker (hybrid scores)
5,91,7,LLM_Batch_Reranker (hybrid scores)
5,82,8,LLM_Batch_Reranker (hybrid scores)
5,161,9,LLM_Batch_Reranker (hybrid scores)
5,4,10,LLM_Batch_Reranker (hybrid scores)
5,98,11,LLM_Batch_Reranker (hybrid scores)
5,566,12,LLM_Batch_Reranker (hybrid scores)
5,71,13,LLM_Batch_Reranker (hybrid scores)
5,403,14,LLM_Batch_Reranker (hybrid scores)
5,265,15,LLM_Batch_Reranker (hybrid scores)
5,568,16,LLM_Batch_Reranker (hybrid scores)
5,202,17,LLM_Batch_Reranker (hybrid scores)
5,11,18,LLM_Batch_Reranker (hybrid scores)
5,184,19,LLM_Batch_Reranker (hybrid scores)
5,96,20,LLM_Batch_Reranker (hybrid scores)
6,197,1,LLM_Batch_Reranker (hybrid scores)
6,269,2,LLM_Batch_Reranker (hybrid scores)
6,70,3,LLM_Batch_Reranker (hybrid scores)
6,211,4,LLM_Batch_Reranker (hybrid scores)
6,238,5,LLM_Batch_Reranker (hybrid scores)
6,69,6,LLM_Batch_Reranker (hybrid scores)
6,83,7,LLM_Batch_Reranker (hybrid scores)
6,478,8,LLM_Batch_Reranker (hybrid scores)
6,100,9,LLM_Batch_Reranker (hybrid scores)
6,357,10,LLM_Batch_Reranker (hybrid scores)
6,86,11,LLM_Batch_Reranker (hybrid scores)
6,134,12,LLM_Batch_Reranker (hybrid scores)
6,483,13,LLM_Batch_Reranker (hybrid scores)
6,498,14,LLM_Batch_Reranker (hybrid scores)
6,515,15,LLM_Batch_Reranker (hybrid scores)
6,286,16,LLM_Batch_Reranker (hybrid scores)
6,511,17,LLM_Batch_Reranker (hybrid scores)
6,582,18,LLM_Batch_Reranker (hybrid scores)
6,654,19,LLM_Batch_Reranker (hybrid scores)
6,275,20,LLM_Batch_Reranker (hybrid scores)
7,89,1,LLM_Batch_Reranker (hybrid scores)
7,182,2,LLM_Batch_Reranker (hybrid scores)
7,28,3,LLM_Batch_Reranker (hybrid scores)
7,188,4,LLM_Batch_Reranker (hybrid scores)
7,196,5,LLM_Batch_Reranker (hybrid scores)
7,511,6,LLM_Batch_Reranker (hybrid scores)
7,191,7,LLM_Batch_Reranker (hybrid scores)
7,79,8,LLM_Batch_Reranker (hybrid scores)
7,22,9,LLM_Batch_Reranker (hybrid scores)
7,479,10,LLM_Batch_Reranker (hybrid scores)
7,195,11,LLM_Batch_Reranker (hybrid scores)
7,228,12,LLM_Batch_Reranker (hybrid scores)
7,176,13,LLM_Batch_Reranker (hybrid scores)
7,172,14,LLM_Batch_Reranker (hybrid scores)
7,483,15,LLM_Batch_Reranker (hybrid scores)
7,183,16,LLM_Batch_Reranker (hybrid scores)
7,208,17,LLM_Batch_Reranker (hybrid scores)
7,185,18,LLM_Batch_Reranker (hybrid scores)
7,480,19,LLM_Batch_Reranker (hybrid scores)
7,174,20,LLM_Batch_Reranker (hybrid scores)
8,172,1,LLM_Batch_Reranker (hybrid scores)
8,50,2,LLM_Batch_Reranker (hybrid scores)
8,89,3,LLM_Batch_Reranker (hybrid scores)
8,117,4,LLM_Batch_Reranker (hybrid scores)
8,265,5,LLM_Batch_Reranker (hybrid scores)
