user_id,movie_id,recommendation_rank,module_source
1,100,1,LLM_Batch_Reranker (hybrid scores)
1,318,2,LLM_Batch_Reranker (hybrid scores)
1,357,3,LLM_Batch_Reranker (hybrid scores)
1,285,4,LLM_Batch_Reranker (hybrid scores)
1,276,5,LLM_Batch_Reranker (hybrid scores)
1,514,6,LLM_Batch_Reranker (hybrid scores)
1,12,7,LLM_Batch_Reranker (hybrid scores)
1,462,8,LLM_Batch_Reranker (hybrid scores)
1,86,9,LLM_Batch_Reranker (hybrid scores)
1,14,10,LLM_Batch_Reranker (hybrid scores)
1,56,11,LLM_Batch_Reranker (hybrid scores)
1,483,12,LLM_Batch_Reranker (hybrid scores)
1,509,13,LLM_Batch_Reranker (hybrid scores)
1,427,14,LLM_Batch_Reranker (hybrid scores)
1,23,15,LLM_Batch_Reranker (hybrid scores)
1,475,16,LLM_Batch_Reranker (hybrid scores)
1,286,17,LLM_Batch_Reranker (hybrid scores)
1,275,18,LLM_Batch_Reranker (hybrid scores)
1,170,19,LLM_Batch_Reranker (hybrid scores)
1,47,20,LLM_Batch_Reranker (hybrid scores)
2,9,1,LLM_Batch_Reranker (hybrid scores)
2,301,2,LLM_Batch_Reranker (hybrid scores)
2,744,3,LLM_Batch_Reranker (hybrid scores)
2,303,4,LLM_Batch_Reranker (hybrid scores)
2,690,5,LLM_Batch_Reranker (hybrid scores)
2,268,6,LLM_Batch_Reranker (hybrid scores)
2,292,7,LLM_Batch_Reranker (hybrid scores)
2,319,8,LLM_Batch_Reranker (hybrid scores)
2,333,9,LLM_Batch_Reranker (hybrid scores)
2,750,10,LLM_Batch_Reranker (hybrid scores)
2,124,11,LLM_Batch_Reranker (hybrid scores)
2,508,12,LLM_Batch_Reranker (hybrid scores)
2,20,13,LLM_Batch_Reranker (hybrid scores)
2,270,14,LLM_Batch_Reranker (hybrid scores)
2,315,15,LLM_Batch_Reranker (hybrid scores)
2,328,16,LLM_Batch_Reranker (hybrid scores)
2,471,17,LLM_Batch_Reranker (hybrid scores)
